ID	GroupID	Level	Variation	ColorList	Block1	Block2	Block3	Block4
12	10	4	1	Green,Green,Green,Green,Green,Green	3:XOX XOX XXX=Green	1:OOX XXX XXO=Green, Green	2:XXX OXO XXX=Green, Green	4:XOX XXX OXX=Green
13	11	5	1	Blue,Blue,Green	2:XOX XXX XOX=Blue	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	1:XOO XXX OXX=Green
14	12	5	1	Blue,Blue,Red	2:XOX XXX XOX=Blue	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	1:OOX XXX XXO=Red
15	13	5	1	Blue,Green,Green	2:XOX XXX XOX=Blue	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	4:XXO OXX XXX=
16	13	5	2	Blue,Green,Green	2:XOX XXX XOX=Blue	4:XXX OXX XXO=Green	3:XXX XOX XOX=	1:XOO XXX OXX=Green
17	14	5	1	Blue,White,White	1:XOO XXX OXX=Blue, White	2:XOX XXX XOX=White	3:XXX XOX XOX=	4:XXO OXX XXX=
18	15	5	1	Green,White,White	4:XOX XXX OXX=White	2:XOX XXX XOX=White	3:XXX XOX XOX=	1:XOO XXX OXX=Green
19	16	5	1	Green,Yellow,Yellow	4:XOX XXX XXO=Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	1:XOO XXX OXX=Green
20	17	5	1	Red,White,White	4:XOX XXX OXX=White	2:XOX XXX XOX=White	3:XXX XOX XOX=	1:OOX XXX XXO=Red
21	18	5	1	Red,Yellow,Yellow	4:XOX XXX XXO=Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	1:OOX XXX XXO=Red
22	19	5	1	White,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XOX XXX XOX=White	3:XXX XOX XOX=	4:XXO OXX XXX=
23	20	6	1	Blue,Blue,Blue,Green	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	4:XOX XXX OXX=Green
24	20	6	2	Blue,Blue,Blue,Green	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XXX XOO XXX=Green	4:XXO OXX XXX=
25	20	6	3	Blue,Blue,Blue,Green	2:XOX XXX XOX=Blue	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	1:XXO XXO OXX=Blue, Green
26	21	6	1	Blue,Blue,Blue,Red	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	4:XXX OXX XXO=Red
27	21	6	2	Blue,Blue,Blue,Red	2:XOX XXX XOX=Blue	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	1:OXX XXO XXO=Blue, Red
28	22	6	1	Blue,Blue,Blue,White	1:XOO XXX OXX=Blue, White	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
29	22	6	2	Blue,Blue,Blue,White	2:XOX XXX XOX=Blue	1:XXO XXX OOX=Blue, Blue, White	3:XXX XOX XOX=	4:XXO OXX XXX=
30	22	6	3	Blue,Blue,Blue,White	4:XOX XXX OXX=White	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
31	23	6	1	Blue,Blue,Blue,Yellow	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	4:OXX XXX XOX=Yellow
32	23	6	2	Blue,Blue,Blue,Yellow	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XOX XOX XXX=Yellow	4:XXO OXX XXX=
33	23	6	3	Blue,Blue,Blue,Yellow	2:XOX XXX XOX=Blue	1:XXO XXO OXX=Blue, Blue, Yellow	3:XXX XOX XOX=	4:XXO OXX XXX=
34	23	6	4	Blue,Blue,Blue,Yellow	4:XOX XXX XXO=Yellow	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
35	24	6	1	Blue,Blue,Green,Green	2:XOX XXX XOX=Blue	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	4:OXX XXO XXX=Blue
36	24	6	2	Blue,Blue,Green,Green	2:XOX XXX XOX=Blue	4:XOX XXX OXX=Blue	3:XXX XOO XXX=Green	1:XOO XXX OXX=Green
37	24	6	3	Blue,Blue,Green,Green	2:XOX XXX XOX=Blue	4:XXX OXX XXO=Green	3:XXX XOX XOX=	1:XXO XXO OXX=Blue, Green
38	25	6	1	Blue,Blue,Red,Red	2:XXX OXO XXX=Red, Red	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	4:XXO OXX XXX=
39	25	6	2	Blue,Blue,Red,Red	2:XOX XXX XOX=Blue	3:XOX XOX XXX=Red	1:XXO XXX OOX=Blue, Red	4:XXO OXX XXX=
40	26	6	1	Blue,Blue,White,White	1:XOO XXX OXX=Blue, White	2:XOX XXX XOX=White	3:XXX XOX XOX=	4:OXX XXO XXX=Blue
41	26	6	2	Blue,Blue,White,White	1:XXO XXX OOX=Blue, Blue, White	2:XOX XXX XOX=White	3:XXX XOX XOX=	4:XXO OXX XXX=
42	27	6	1	Blue,Blue,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
43	27	6	2	Blue,Blue,Yellow,Yellow	4:XOX XXX XXO=Yellow	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
44	28	6	1	Blue,Green,Green,Green	2:XOX XXX XOX=Blue	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	4:XOX XXX OXX=Green
45	28	6	2	Blue,Green,Green,Green	2:XOX XXX XOX=Blue	1:OOX XXX XXO=Green, Green	3:XXX XOO XXX=Green	4:XXO OXX XXX=
46	28	6	3	Blue,Green,Green,Green	2:XOX XXX XOX=Blue	4:XXX OXX XXO=Green	3:XXX XOO XXX=Green	1:XOO XXX OXX=Green
47	29	6	1	Blue,Red,Red,Red	2:XOX XXX XOX=Blue	3:XOX XOX XXX=Red	4:XXO XXX XOX=Red	1:OOX XXX XXO=Red
48	29	6	2	Blue,Red,Red,Red	2:XXX OXO XXX=Red, Red	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	1:OOX XXX XXO=Red
49	30	6	1	Blue,Yellow,Yellow,Yellow	1:OXX XXX XOO=Blue, Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:XXO OXX XXX=
50	30	6	2	Blue,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:OXX XXO XXX=Blue
51	30	6	3	Blue,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
52	31	6	1	Green,Green,Green,Yellow	3:XOX XOX XXX=Green	1:OOX XXX XXO=Green, Green	2:XOX XXX XOX=Yellow	4:XXO OXX XXX=
53	31	6	2	Green,Green,Green,Yellow	3:XOX XOX XXX=Green	4:XXX OXX XXO=Green	2:XOX XXX XOX=Yellow	1:XOO XXX OXX=Green
54	32	6	1	Green,Green,Red,Red	2:XXX OXO XXX=Red, Red	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	4:XXO OXX XXX=
55	32	6	2	Green,Green,Red,Red	2:XXX OXO XXX=Red, Red	4:XXX OXX XXO=Green	3:XXX XOX XOX=	1:XOO XXX OXX=Green
56	33	6	1	Green,Green,White,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	4:OXX XXX XOX=White	1:XOO XXX OXX=Green
57	33	6	2	Green,Green,White,White	4:XOX XXX OXX=White	2:XOX XXX XOX=White	3:XXX XOO XXX=Green	1:XOO XXX OXX=Green
58	34	6	1	Green,Green,Yellow,Yellow	4:XOX XXX XXO=Yellow	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
59	34	6	2	Green,Green,Yellow,Yellow	4:XOX XXX XXO=Yellow	2:XXX OXO XXX=Yellow	3:XXX XOO XXX=Green	1:XOO XXX OXX=Green
60	35	6	1	Green,Red,Red,Red	2:XXX OXO XXX=Red, Red	4:XXX OXX XXO=Green	3:XXX XOX XOX=	1:OOX XXX XXO=Red
61	36	6	1	Green,White,White,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	1:OXX XXX XOO=White, White	4:XXO OXX XXX=
62	37	6	1	Green,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:XOX XXX OXX=Green
63	37	6	2	Green,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOO XXX=Green	4:XXO OXX XXX=
64	37	6	3	Green,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	4:XXX OXX XXO=Green	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
65	37	6	4	Green,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	1:XXO XXX OOX=Green, Yellow
66	37	6	5	Green,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	2:XXX OXO XXX=Yellow	3:XOX XOX XXX=Yellow	1:XOO XXX OXX=Green
67	38	6	1	Red,Red,White,White	4:XXX XXO OXX=Red, White	2:XOX XXX XOX=White	3:XXX XOX XOX=	1:OOX XXX XXO=Red
68	39	6	1	Red,Red,Yellow,Yellow	4:OXX XXO XXX=Red, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	1:OOX XXX XXO=Red
69	39	6	2	Red,Red,Yellow,Yellow	4:XOX XXX XXO=Yellow	3:XOX XOX XXX=Red	2:XOX XXX XOX=Yellow	1:OOX XXX XXO=Red
70	40	6	1	Red,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:XXX OXX XXO=Red
71	40	6	2	Red,Yellow,Yellow,Yellow	1:OXX OXX XXO=Red, Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:XXO OXX XXX=
72	40	6	3	Red,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	3:XOX XOX XXX=Red	2:XOX XXX XOX=Yellow	4:XXO OXX XXX=
73	40	6	4	Red,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	1:OXX XXX XOO=Red, Yellow
74	40	6	5	Red,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	2:XXX OXO XXX=Yellow	3:XOX XOX XXX=Yellow	1:OOX XXX XXO=Red
75	41	6	1	White,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XOX XXX XOX=White	3:XXX XOX XOX=	4:OXX XXX XOX=Yellow
76	41	6	2	White,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XOX XXX XOX=White	3:XOX XOX XXX=Yellow	4:XXO OXX XXX=
77	42	7	1	Blue,Green,Red	2:XOX XXX XOX=Blue	4:XXX OXX XXO=Green	3:XXX XOX XOX=	1:OOX XXX XXO=Red
78	43	7	1	Blue,White,Yellow	1:XOO XXX OXX=Blue, White	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:XXO OXX XXX=
79	44	7	1	Green,White,Yellow	4:XOX XXX OXX=White	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	1:XOO XXX OXX=Green
80	44	7	2	Green,White,Yellow	4:XOX XXX XXO=Yellow	2:XOX XXX XOX=White	3:XXX XOX XOX=	1:XOO XXX OXX=Green
81	45	7	1	Red,White,Yellow	4:XOX XXX OXX=White	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	1:OOX XXX XXO=Red
82	45	7	2	Red,White,Yellow	4:XOX XXX XXO=Yellow	2:XOX XXX XOX=White	3:XXX XOX XOX=	1:OOX XXX XXO=Red
83	46	8	1	Blue,Blue,Blue,Blue,Green	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	4:XXX XXO OXX=Blue, Green
84	46	8	2	Blue,Blue,Blue,Blue,Green	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XXX XOO XXX=Green	4:OXX XXO XXX=Blue
85	47	8	1	Blue,Blue,Blue,Blue,Red	4:XXO OXX XXX=Blue, Red	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
86	48	8	1	Blue,Blue,Blue,Blue,White	1:XXO XXX OOX=Blue, Blue, White	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
87	48	8	2	Blue,Blue,Blue,Blue,White	2:XOX XXX XOX=Blue	1:XXO XXX OOX=Blue, Blue, White	3:XXX XOX XOX=	4:OXX XXO XXX=Blue
88	49	8	1	Blue,Blue,Blue,Blue,Yellow	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XOX XOX XXX=Yellow	4:OXX XXO XXX=Blue
89	49	8	2	Blue,Blue,Blue,Blue,Yellow	2:XOX XXX XOX=Blue	1:XXO XXO OXX=Blue, Blue, Yellow	3:XXX XOX XOX=	4:OXX XXO XXX=Blue
90	49	8	3	Blue,Blue,Blue,Blue,Yellow	4:OXX XXX XOX=Blue, Yellow	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
91	49	8	4	Blue,Blue,Blue,Blue,Yellow	4:XXO XXX XOX=Blue, Blue	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
92	50	8	1	Blue,Blue,Blue,Green,Green	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XXX XOO XXX=Green	4:XOX XXX OXX=Green
93	50	8	2	Blue,Blue,Blue,Green,Green	2:XOX XXX XOX=Blue	4:XOX XXX OXX=Blue	3:XXX XOO XXX=Green	1:XXO XXO OXX=Blue, Green
94	50	8	3	Blue,Blue,Blue,Green,Green	4:XXO XXX XOX=Blue, Blue	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
95	51	8	1	Blue,Blue,Blue,Red,Red	2:XXX OXO XXX=Red, Red	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	4:OXX XXO XXX=Blue
96	51	8	2	Blue,Blue,Blue,Red,Red	2:XOX XXX XOX=Blue	3:XOX XOX XXX=Red	1:XXO XXX OOX=Blue, Red	4:OXX XXO XXX=Blue
97	52	8	1	Blue,Blue,Blue,White,White	1:XXO XXX OOX=Blue, Blue, White	2:XOX XXX XOX=White	3:XXX XOX XOX=	4:OXX XXO XXX=Blue
98	52	8	2	Blue,Blue,Blue,White,White	1:XOO XXX OXX=Blue, White	4:XXO XXX XOX=Blue, White	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
99	52	8	3	Blue,Blue,Blue,White,White	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	4:OXX XXX XOX=White	3:XOX XOX XXX=White
100	52	8	4	Blue,Blue,Blue,White,White	4:XOX XXX OXX=White	1:XXO XXX OOX=Blue, Blue, White	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
101	53	8	1	Blue,Blue,Blue,Yellow,Yellow	1:OXX XXX XOO=Blue, Yellow, Yellow	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
102	53	8	2	Blue,Blue,Blue,Yellow,Yellow	2:XOX XXX XOX=Blue	1:XOO XXX OXX=Blue, Blue	3:XOX XOX XXX=Yellow	4:OXX XXX XOX=Yellow
103	53	8	3	Blue,Blue,Blue,Yellow,Yellow	2:XOX XXX XOX=Blue	1:XXO XXO OXX=Blue, Blue, Yellow	3:XXX XOX XOX=	4:OXX XXX XOX=Yellow
104	53	8	4	Blue,Blue,Blue,Yellow,Yellow	2:XOX XXX XOX=Blue	1:XXO XXO OXX=Blue, Blue, Yellow	3:XOX XOX XXX=Yellow	4:XXO OXX XXX=
105	53	8	5	Blue,Blue,Blue,Yellow,Yellow	4:OXX XXX XOX=Blue, Yellow	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
106	53	8	6	Blue,Blue,Blue,Yellow,Yellow	4:XOX XXX XXO=Yellow	1:XOO XXX OXX=Blue, Blue	3:XOX XOX XXX=Yellow	2:XXX OXO XXX=Blue
107	53	8	7	Blue,Blue,Blue,Yellow,Yellow	4:XOX XXX XXO=Yellow	1:XXO XXO OXX=Blue, Blue, Yellow	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
108	54	8	1	Blue,Blue,Green,Green,Green	2:XOX XXX XOX=Blue	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	4:XXX XXO OXX=Blue, Green
109	54	8	2	Blue,Blue,Green,Green,Green	2:XOX XXX XOX=Blue	1:OOX XXX XXO=Green, Green	3:XXX XOO XXX=Green	4:OXX XXO XXX=Blue
110	54	8	3	Blue,Blue,Green,Green,Green	2:XOX XXX XOX=Blue	4:XXX OXX XXO=Green	3:XXX XOO XXX=Green	1:XXO XXO OXX=Blue, Green
111	54	8	4	Blue,Blue,Green,Green,Green	3:XOX XOX XXX=Green	1:XOO XXX OXX=Blue, Blue	2:XXX OXO XXX=Green, Green	4:XXO OXX XXX=
112	55	8	1	Blue,Blue,Red,Red,Red	2:XXX OXO XXX=Red, Red	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	4:XXX OXX XXO=Red
113	55	8	2	Blue,Blue,Red,Red,Red	2:XOX XXX XOX=Blue	3:XOX XOX XXX=Red	1:XXO XXX OOX=Blue, Red	4:XXX OXX XXO=Red
114	55	8	3	Blue,Blue,Red,Red,Red	2:XOX XXX XOX=Blue	3:XOX XOX XXX=Red	4:XXO XXX XOX=Red	1:OXX XXO XXO=Blue, Red
115	55	8	4	Blue,Blue,Red,Red,Red	2:XXX OXO XXX=Red, Red	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	1:OXX XXO XXO=Blue, Red
116	56	8	1	Blue,Blue,White,White,White	2:XOX XXX XOX=Blue	4:XOX XXX OXX=Blue	1:OXX XXX XOO=White, White	3:XOX XOX XXX=White
117	57	8	1	Blue,Blue,Yellow,Yellow,Yellow	1:OXX XXX XOO=Blue, Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:OXX XXO XXX=Blue
118	57	8	2	Blue,Blue,Yellow,Yellow,Yellow	1:OXX XXX XOO=Blue, Yellow, Yellow	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
119	57	8	3	Blue,Blue,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	4:XOX XXX OXX=Blue	3:XOX XOX XXX=Yellow	2:XXX OXO XXX=Blue
120	57	8	4	Blue,Blue,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	4:XXX XXO OXX=Blue, Yellow	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
121	57	8	5	Blue,Blue,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	1:XOO XXX OXX=Blue, Blue	3:XOX XOX XXX=Yellow	2:XOX XXX XOX=Yellow
122	57	8	6	Blue,Blue,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	1:XXO XXO OXX=Blue, Blue, Yellow	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
123	58	8	1	Blue,Green,Green,Green,Green	2:XOX XXX XOX=Blue	1:OOX XXX XXO=Green, Green	3:XXX XOO XXX=Green	4:XOX XXX OXX=Green
124	58	8	2	Blue,Green,Green,Green,Green	3:XOX XOX XXX=Green	4:XOX XXX OXX=Blue	2:XXX OXO XXX=Green, Green	1:XOO XXX OXX=Green
125	59	8	1	Blue,Red,Red,Red,Red	2:XXX OXO XXX=Red, Red	3:XOX XOX XXX=Red	1:XXO XXX OOX=Blue, Red	4:XXO OXX XXX=
126	60	8	1	Blue,White,White,White,White	1:XOO XXX OXX=Blue, White	2:XOX XXX XOX=White	4:OXX XXX XOX=White	3:XOX XOX XXX=White
127	61	8	1	Blue,Yellow,Yellow,Yellow,Yellow	1:OXX XXX XOO=Blue, Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:OXX XXX XOX=Yellow
128	61	8	2	Blue,Yellow,Yellow,Yellow,Yellow	1:OXX XXX XOO=Blue, Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XOX XOX XXX=Yellow	4:XXO OXX XXX=
129	61	8	3	Blue,Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XOX XOX XXX=Yellow	4:OXX XXO XXX=Blue
130	61	8	4	Blue,Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	4:XOX XXX OXX=Blue	3:XOX XOX XXX=Yellow	2:XOX XXX XOX=Yellow
131	61	8	5	Blue,Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	4:XXX XXO OXX=Blue, Yellow	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
132	62	8	1	Green,Green,Green,Green,Red	3:XOX XOX XXX=Green	4:XXX OXX XXO=Green	2:XXX OXO XXX=Green, Green	1:OOX XXX XXO=Red
133	63	8	1	Green,Green,Green,Green,Yellow	3:XOX XOX XXX=Green	1:OOX XXX XXO=Green, Green	2:XOX XXX XOX=Yellow	4:XOX XXX OXX=Green
134	64	8	1	Green,Green,Green,Red,Red	2:XXX OXO XXX=Red, Red	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	4:XOX XXX OXX=Green
135	64	8	2	Green,Green,Green,Red,Red	2:XXX OXO XXX=Red, Red	1:OOX XXX XXO=Green, Green	3:XXX XOO XXX=Green	4:XXO OXX XXX=
136	64	8	3	Green,Green,Green,Red,Red	2:XXX OXO XXX=Red, Red	4:XXX OXX XXO=Green	3:XXX XOO XXX=Green	1:XOO XXX OXX=Green
137	65	8	1	Green,Green,Green,White,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	4:OXX XXO XXX=Green, White	1:XOO XXX OXX=Green
138	66	8	1	Green,Green,Green,Yellow,Yellow	3:XOX XOX XXX=Green	1:OOX XXX XXO=Green, Green	2:XOX XXX XOX=Yellow	4:OXX XXX XOX=Yellow
139	66	8	2	Green,Green,Green,Yellow,Yellow	3:XOX XOX XXX=Green	1:OXX XXO XXO=Green, Green, Yellow	2:XOX XXX XOX=Yellow	4:XXO OXX XXX=
140	66	8	3	Green,Green,Green,Yellow,Yellow	3:XOX XOX XXX=Green	4:OXX XXO XXX=Green, Yellow	2:XOX XXX XOX=Yellow	1:XOO XXX OXX=Green
141	66	8	4	Green,Green,Green,Yellow,Yellow	3:XOX XOX XXX=Green	4:XXX OXX XXO=Green	2:XOX XXX XOX=Yellow	1:XXO XXX OOX=Green, Yellow
142	66	8	5	Green,Green,Green,Yellow,Yellow	4:XOX XXX XXO=Yellow	1:OOX XXX XXO=Green, Green	3:XXX XOO XXX=Green	2:XOX XXX XOX=Yellow
143	67	8	1	Green,Green,Red,Red,Red	2:XXX OXO XXX=Red, Red	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	4:XXX OXX XXO=Red
144	67	8	2	Green,Green,Red,Red,Red	2:XXX OXO XXX=Red, Red	4:XXX OXX XXO=Green	3:XXX XOO XXX=Green	1:OOX XXX XXO=Red
145	68	8	1	Green,Green,White,White,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	1:OXX XXX XOO=White, White	4:XOX XXX OXX=Green
146	68	8	2	Green,Green,White,White,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	1:OXX OXX XXO=Green, White, White	4:XXO OXX XXX=
147	69	8	1	Green,Green,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOO XXX=Green	4:XOX XXX OXX=Green
148	69	8	2	Green,Green,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	4:XXX OXX XXO=Green	3:XXX XOO XXX=Green	2:XOX XXX XOX=Yellow
149	69	8	3	Green,Green,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	1:OOX XXX XXO=Green, Green	3:XOX XOX XXX=Yellow	2:XOX XXX XOX=Yellow
150	69	8	4	Green,Green,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	1:OXX XXO XXO=Green, Green, Yellow	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
151	69	8	5	Green,Green,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	2:XXX OXO XXX=Yellow	3:XXX XOO XXX=Green	1:XXO XXX OOX=Green, Yellow
152	70	8	1	Green,Red,Red,Red,Red	2:XXX OXO XXX=Red, Red	3:XOX XOX XXX=Red	4:XXO XXX XOX=Red	1:XOO XXX OXX=Green
153	71	8	1	Green,Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XXX XOO XXX=Green	4:OXX XXX XOX=Yellow
154	71	8	2	Green,Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	3:XOX XOX XXX=Yellow	4:XOX XXX OXX=Green
155	71	8	3	Green,Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	4:OXX XXO XXX=Green, Yellow	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
